seed,fluo_noise,model,z_lreg,beta,lr,time,ram,latent_dim,num_epochs,last_train_loss,last_val_loss,mae_xcal,mae_xrna,ari_train,ari_val,ari_cal_train,ari_cal_val,ari_rna_train,ari_rna_val,sil_train,sil_val,sil_cal_train,sil_cal_val,sil_rna_train,sil_rna_val,ba,ba_cal,ba_rna,prec,prec_cal,prec_rna,recall,recall_cal,recall_rna,f1,f1_cal,f1_rna,med_entropy_tr,med_entropy_val,med_entropy_tr_cal,med_entropy_val_cal,med_entropy_tr_rna,med_entropy_val_rna,kbet_train,kbet_val,kbet_train_cal,kbet_val_cal,kbet_train_rna,kbet_val_rna
3,1.0,hybrid_z,100000000.0,1.0,0.0001,440.4429640769959,3286.203125,32,1106,1333.5584562210647,1333.5584562210647,0.0867516249418258,0.00029964625719,0.442515484887398,0.4172165902921177,0.4442481503886074,0.4031137575755298,0.3484350796208456,0.3811396560525614,0.12566297,0.12825684,0.13983987,0.13892236,0.39878616,0.40436625,,0.9376111783933012,1.0,,0.9640253559095828,1.0,,0.9376111783933012,1.0,,0.9483167331424234,1.0,0.0,0.3069209381352162,0.2863969571159562,0.4021791902022729,0.0,0.0,0.893,0.782,0.973,0.918,0.646,0.472
3,1.0,hybrid_z,1000000000.0,1.0,0.0001,464.6641669273377,3257.453125,32,1184,1017.773368586034,1017.773368586034,0.085927627980709,0.0002928143076132,0.4633638519042748,0.4391282306749455,0.439707176077166,0.4144952267025432,0.3042487472455216,0.0328576307263716,0.11820091,0.12274005,0.14861695,0.1511645,0.5752155,0.5877119,,0.9357476787644384,1.0,,0.9613892467742244,1.0,,0.9357476787644384,1.0,,0.9461578442226888,1.0,0.0807931358959111,0.4689955935892811,0.2422921890824148,0.3659236509002231,0.0,0.0,0.89,0.807,0.839,0.744,0.553,0.434
4,1.0,hybrid_z,10000000.0,1.0,0.0001,428.85929226875305,3271.6640625,32,1058,1340.0106160132136,1340.0106160132136,0.0872230604290962,0.0003149791737087,0.4314790372356908,0.4056508471633109,0.4364058157176585,0.4659395569265711,0.3712030291343517,0.0263825267510894,0.17346215,0.17435369,0.07966993,0.07743596,0.96800005,0.9678749,,0.933456873315364,1.0,,0.960716103036936,1.0,,0.933456873315364,1.0,,0.9443715455992326,1.0,0.0,0.1414405425418206,0.3659236509002231,0.557438185027989,0.0,0.0,0.799,0.695,0.982,0.935,0.587,0.505
4,1.0,hybrid_z,100000000.0,1.0,0.0001,563.8121931552887,3240.97265625,32,1414,778.00938420591,778.00938420591,0.0857531949877739,0.0002899614919442,0.4337124006849546,0.430803123200244,0.4409785234800595,0.4317272996744372,0.4954234743099733,0.9897041691116198,0.21689841,0.21471591,0.113879256,0.11909619,0.97531945,0.97540665,,0.9315629339214244,1.0,,0.9598296705573668,1.0,,0.9315629339214244,1.0,,0.9427795405369368,1.0,0.0,0.1943918578315762,0.3659236509002231,0.4193245036331879,0.0,0.0,0.952,0.863,0.806,0.689,0.589,0.407
4,1.0,hybrid_z,1000000000.0,1.0,0.0001,228.2496166229248,3278.78515625,32,573,2015.609920798973,2015.609920798973,0.0890873670578002,0.0003200781357008,0.4265598624012615,0.4089298007875285,0.4347199896562542,0.4349155896153226,0.5308785123824796,0.0486159487504527,0.21431018,0.2146913,0.13067277,0.13223477,0.9763202,0.9754402,,0.9394909335947071,1.0,,0.9681413302508178,1.0,,0.9394909335947071,1.0,,0.9509725728333462,1.0,0.0,0.2422921890824148,0.1943918578315762,0.3659236509002231,0.0,0.0,0.934,0.855,0.992,0.948,0.54,0.391
5,1.0,hybrid_z,10000000.0,1.0,0.0001,410.3905670642853,3262.3359375,32,1046,1361.066321090133,1361.066321090133,0.0867983922362327,0.0002943288709502,0.4429682485997085,0.4326011967958204,0.4202953219380124,0.422105607805555,0.009055048708603,0.0251861073532466,0.1117498,0.11401823,0.16874708,0.17362556,0.7544478,0.74666655,,0.9392847895064328,0.998180991359709,,0.9619784929876184,0.998142989786444,,0.9392847895064328,0.998180991359709,,0.9486966249303144,0.9981569085994798,0.0,0.4364698170641029,0.2863969571159562,0.2863969571159562,0.0,0.0,0.938,0.829,0.893,0.751,0.61,0.581
5,1.0,hybrid_z,100000000.0,1.0,0.0001,416.23624753952026,3282.66796875,32,1045,1303.7769888554324,1303.7769888554324,0.0866239443421363,0.0002819030196405,0.4450861390030207,0.4210274117769222,0.4353655152692366,0.4272538228955974,0.0187389626051703,0.5080481234894307,0.1222415,0.12412272,0.12801024,0.1313347,0.46017525,0.46640483,,0.9443914114965984,1.0,,0.9687738466920772,1.0,,0.9443914114965984,1.0,,0.9544768983112174,1.0,0.0,0.4364698170641029,0.3274449191544763,0.3659236509002231,0.0,0.0,0.964,0.905,0.85,0.769,0.601,0.543
5,1.0,hybrid_z,1000000000.0,1.0,0.0001,268.67651319503784,3273.296875,32,683,1699.69075886984,1699.69075886984,0.0877704843878746,0.0003442611487116,0.4393871286695954,0.408396634866879,0.4410535695089026,0.4209863923041586,0.511468888748582,0.4698137576783753,0.18001515,0.18432362,0.10988302,0.109200336,0.9850591,0.98524266,,0.9443914114965984,1.0,,0.9687738466920772,1.0,,0.9443914114965984,1.0,,0.9544768983112174,1.0,0.0,0.1943918578315762,0.3274449191544763,0.4364698170641029,0.0,0.0,0.879,0.825,0.954,0.888,0.438,0.262
2,1.0,hybrid_z,10000000.0,1.0,0.0001,455.87466049194336,3276.5,32,1146,1282.4244731713566,1282.4244731713566,0.0873478204011917,0.0002858162915799,0.4451392077272924,0.3776964483863887,0.4608457940599445,0.3910741708429633,0.5101963871040504,0.4177977185253126,0.18537252,0.19337294,0.1388694,0.15408234,0.9346523,0.93750095,,0.9468320277815104,1.0,,0.971579893129049,1.0,,0.9468320277815104,1.0,,0.9570451798811376,1.0,0.0,0.1414405425418206,0.2863969571159562,0.3659236509002231,0.0,0.0,0.977,0.922,0.839,0.784,0.661,0.526
2,1.0,hybrid_z,100000000.0,1.0,0.0001,404.89329290390015,3271.03125,32,1032,1330.0944109477475,1330.0944109477475,0.0865496546030044,0.0002920084516517,0.4505763282215871,0.381735401681832,0.4538503485091568,0.3999008819309388,0.4553116116437605,0.0339204217767146,0.13297643,0.14294688,0.103452824,0.117922835,0.6093539,0.63156146,,0.9358132230925902,1.0,,0.9608367108941688,1.0,,0.9358132230925902,1.0,,0.9459805381674942,1.0,0.0,0.2863969571159562,0.3274449191544763,0.557438185027989,0.0,0.0,0.865,0.793,0.951,0.895,0.639,0.492
2,1.0,hybrid_z,1000000000.0,1.0,0.0001,316.5214111804962,3262.66796875,32,807,1611.1764968358168,1611.1764968358168,0.0874387398362159,0.0002987091138493,0.4489823038892019,0.3236245987268286,0.4381747679127246,0.4078082990976841,0.4805959548489238,0.0328527330997995,0.22672243,0.23839664,0.11423632,0.12473915,0.86471117,0.8701173,,0.9477305003780964,1.0,,0.9720767987980802,1.0,,0.9477305003780964,1.0,,0.9578134543098664,1.0,0.0,0.0807931358959111,0.3274449191544763,0.3659236509002231,0.0,0.0,0.916,0.822,0.968,0.899,0.573,0.518
0,1.0,hybrid_z,10000000.0,1.0,0.0001,451.45720076560974,3282.578125,16,1133,1550.5454858564212,1550.5454858564212,0.0887303575873375,0.0002933692012447,0.4319468934329535,0.3798798588324033,0.443012434948533,0.3781527097194936,0.0134202223767267,0.035046514854709,0.15948674,0.15703218,0.1153672,0.11394304,0.4241169,0.43540528,0.9259106001785588,0.932229127168036,1.0,0.9485567728306158,0.9551758918987546,1.0,0.9259106001785588,0.932229127168036,1.0,0.9349100466951836,0.9414086826915627,1.0,0.0,0.2863969571159562,0.2422921890824148,0.557438185027989,0.0,0.0,0.77,0.721,0.999,0.995,0.577,0.45
0,1.0,hybrid_z,100000000.0,1.0,0.0001,380.72645568847656,3264.15234375,16,971,1873.4087571002724,1873.4087571002724,0.0893500819802284,0.0003049025253858,0.4447167533808802,0.3984584165007542,0.4366913336019886,0.4014202136835584,0.5165957712442983,0.5280328917039044,0.15027721,0.14561121,0.14992267,0.14939798,0.9500338,0.95086616,0.9227795499914734,0.9087844954708236,1.0,0.9460624569919084,0.9313134511031902,1.0,0.9227795499914734,0.9087844954708236,1.0,0.9319463298508543,0.9174909775042638,1.0,0.0,0.4364698170641029,0.2863969571159562,0.4021791902022729,0.0,0.0,0.982,0.958,0.982,0.952,0.674,0.48
1,1.0,hybrid_z,10000000.0,1.0,0.0001,516.1592259407043,3280.73828125,16,1285,1179.4745743730712,1179.4745743730712,0.0881978869438171,0.0002649478265084,0.4318824541746137,0.4164935623310898,0.4337978192450245,0.4320438385760913,0.0175195430157619,0.0228142339440319,0.16372661,0.16938588,0.13855156,0.14807458,0.7403947,0.72794706,0.96618472830172,0.9406615756794826,1.0,0.9779762250743712,0.9653284536932144,1.0,0.96618472830172,0.9406615756794826,1.0,0.971574713167398,0.9507136423757254,1.0,0.0,0.2863969571159562,0.3659236509002231,0.499915958164528,0.0,0.0,0.915,0.879,0.947,0.89,0.547,0.48
1,1.0,hybrid_z,100000000.0,1.0,0.0001,426.337776184082,3266.3984375,16,1082,1570.2812062855662,1570.2812062855662,0.0889459177851677,0.0003010388172697,0.441749743741049,0.3975708900611057,0.4453376179352231,0.4126708147413184,0.0160101657848435,0.0319784816189394,0.19987413,0.20675808,0.07268875,0.07489814,0.9741101,0.9731787,0.9443541204782748,0.8509831416317688,1.0,0.9680890234656854,0.8863268637631455,1.0,0.9443541204782748,0.8509831416317688,1.0,0.9541540540175438,0.8619037220247403,1.0,0.0,0.1414405425418206,0.4364698170641029,0.7414827399312738,0.0,0.0,0.926,0.821,0.998,0.981,0.62,0.529
1,1.0,hybrid_z,1000000000.0,1.0,0.0001,373.6608526706696,3270.0,16,945,1739.813151365379,1739.813151365379,0.0896822810173034,0.0003140273911412,0.4128251087018474,0.4055952843700714,0.4163170425700021,0.4119264190612408,0.0342607185249746,0.0348269819771741,0.25318128,0.25843942,0.06612576,0.069400206,0.85899276,0.85269547,0.945757615952602,0.933751476449447,1.0,0.968068465841807,0.9569967287111788,1.0,0.945757615952602,0.933751476449447,1.0,0.955017232222775,0.943217796335768,1.0,0.0,0.0807931358959111,0.3274449191544763,0.6343095546405662,0.0,0.0,0.91,0.828,1.0,0.999,0.628,0.409
